City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,6.25,65,40,9.26,CL,1727878433
1,margaret river,-33.95,115.0667,12.01,80,100,12.78,AU,1727878434
2,soygaon,20.6,75.6167,28.0,73,2,1.82,IN,1727878395
3,banda aceh,5.5577,95.3222,27.41,81,100,3.34,ID,1727878436
4,ribeira grande,38.5167,-28.7,25.22,83,75,11.83,PT,1727878437
5,crane,31.3974,-102.3501,20.12,53,0,2.46,US,1727878438
6,poltavka,54.3663,71.7632,6.51,43,0,3.41,RU,1727878439
7,kayangel,8.0823,134.7173,28.86,78,98,5.08,PW,1727878440
8,hamilton,39.1834,-84.5333,15.91,84,0,4.12,US,1727878159
9,iqaluit,63.7506,-68.5145,5.85,81,75,5.14,CA,1727878442
10,adamstown,-25.066,-130.1015,20.29,67,97,5.75,PN,1727878347
11,albany,42.6001,-73.9662,15.81,66,87,0.45,US,1727878176
12,punta arenas,-53.15,-70.9167,6.06,75,75,6.69,CL,1727878323
13,bredasdorp,-34.5322,20.0403,16.89,59,100,8.7,ZA,1727878447
14,grytviken,-54.2811,-36.5092,-4.55,75,25,8.56,GS,1727878448
15,kodiak,57.79,-152.4072,-1.27,93,40,2.06,US,1727878449
16,san patricio,28.017,-97.5169,25.97,65,0,2.64,US,1727878450
17,vadso,70.0744,29.7487,6.09,75,40,5.66,NO,1727878451
18,mount isa,-20.7333,139.5,24.87,20,0,3.6,AU,1727878452
19,udachny,66.4167,112.4,-0.81,96,100,5.29,RU,1727878453
20,villa la angostura,-40.7617,-71.6463,1.24,93,93,2.13,AR,1727878454
21,antonio enes,-16.2325,39.9086,27.18,72,3,5.39,MZ,1727878455
22,port mathurin,-19.6833,63.4167,23.13,72,100,7.39,MU,1727878456
23,olonkinbyen,70.9221,-8.7187,-1.03,76,93,6.78,SJ,1727878457
24,ushuaia,-54.8,-68.3,3.38,88,100,2.6,AR,1727878370
25,port-aux-francais,-49.35,70.2167,0.98,76,73,8.03,TF,1727878460
26,puerto ayora,-0.7393,-90.3518,19.75,100,100,2.24,EC,1727878461
27,yellowknife,62.456,-114.3525,0.31,87,71,6.71,CA,1727878198
28,patterson,37.4716,-121.1297,16.97,20,0,2.15,US,1727878463
29,west island,-12.1568,96.8225,25.99,78,100,8.23,CC,1727878465
30,avarua,-21.2078,-159.775,21.03,68,75,2.57,CK,1727878466
31,waitangi,-43.9535,-176.5597,11.57,89,97,4.47,NZ,1727878467
32,wajir,1.7471,40.0573,35.74,28,40,6.44,KE,1727878468
33,luderitz,-26.6481,15.1594,24.19,33,0,4.3,NA,1727878359
34,fortuna,40.5982,-124.1573,7.51,100,0,2.06,US,1727878470
35,waddan,29.1614,16.139,30.01,27,0,1.02,LY,1727878471
36,brzeziny,51.8002,19.7514,11.73,96,100,3.03,PL,1727878472
37,ceerigaabo,10.6162,47.368,22.23,57,64,0.1,SO,1727878473
38,ha'il,27.5219,41.6907,34.01,16,0,5.14,SA,1727878474
39,blackmans bay,-43.0167,147.3167,6.4,88,0,1.87,AU,1727878475
40,sisimiut,66.9395,-53.6735,5.65,62,100,5.9,GL,1727878476
41,birniwa,12.7903,10.2348,36.35,23,87,5.21,NG,1727878477
42,aberdeen,57.1437,-2.0981,14.55,56,13,3.6,GB,1727878271
43,uturoa,-16.7333,-151.4333,25.82,77,99,1.26,PF,1727878480
44,codrington,-38.2667,141.9667,6.58,72,0,5.34,AU,1727878481
45,vila franca do campo,37.7167,-25.4333,25.23,76,100,5.4,PT,1727878482
46,saipan,15.1355,145.701,28.39,83,40,4.63,MP,1727878483
47,ancud,-41.8697,-73.8203,8.94,81,97,2.06,CL,1727878484
48,wailua homesteads,22.0669,-159.378,25.44,89,75,5.14,US,1727878485
49,bethel,41.3712,-73.414,16.88,76,40,3.09,US,1727878486
50,dolbeau-mistassini,48.8763,-72.212,13.26,82,100,4.71,CA,1727878487
51,sechelt,49.4664,-123.7694,10.0,90,11,2.25,CA,1727878488
52,san antonio de pale,-1.4014,5.6325,24.94,80,96,6.9,GQ,1727878489
53,fale old settlement,-9.3852,-171.2468,27.73,77,24,5.69,TK,1727878490
54,college,64.8569,-147.8028,-1.22,83,20,2.06,US,1727878491
55,kirakira,-10.4544,161.9205,26.47,82,37,3.94,SB,1727878492
56,kodinsk,58.6881,99.1844,2.21,79,7,3.92,RU,1727878493
57,stanley,54.868,-1.6985,12.01,82,40,6.17,GB,1727878495
58,bilibino,68.0546,166.4372,-1.54,97,100,3.95,RU,1727878496
59,portland,45.5234,-122.6762,10.97,88,0,0.45,US,1727878390
60,edinburgh of the seven seas,-37.0676,-12.3116,14.2,87,100,11.74,SH,1727878498
61,acapulco de juarez,16.8634,-99.8901,25.9,89,100,2.06,MX,1727878499
62,invercargill,-46.4,168.35,8.34,90,88,2.68,NZ,1727878500
63,jamestown,42.097,-79.2353,13.34,93,100,3.09,US,1727878501
64,lompoc,34.6391,-120.4579,13.23,98,20,3.09,US,1727878502
65,isafjordur,66.0755,-23.124,7.02,93,100,2.57,IS,1727878503
66,ilulissat,69.2167,-51.1,6.01,49,75,7.72,GL,1727878504
67,duekoue,6.7472,-7.3496,26.55,79,94,1.23,CI,1727878505
68,shanhecun,44.7,127.2,5.39,74,0,3.76,CN,1727878506
69,hasaki,35.7333,140.8333,25.15,86,61,4.95,JP,1727878507
70,cerritos,33.8583,-118.0648,17.02,97,0,0.0,US,1727878291
71,papatowai,-46.5619,169.4708,7.54,89,100,5.27,NZ,1727878509
72,gadzhiyevo,69.2551,33.3362,5.78,73,48,7.07,RU,1727878510
73,kirs,59.3388,52.2447,7.45,45,71,2.44,RU,1727878511
74,ust-nera,64.5667,143.2,-5.79,92,64,1.65,RU,1727878512
75,nassau village-ratliff,30.5111,-81.8093,27.33,71,20,1.54,US,1727878225
76,horta,38.5333,-28.6333,22.8,90,75,11.83,PT,1727878516
77,taoudenni,22.6783,-3.9836,41.73,11,98,1.45,ML,1727878517
78,jidong,45.2167,131.0833,4.9,65,0,2.62,CN,1727878518
79,chake chake,-5.2459,39.7666,27.43,68,77,5.19,TZ,1727878519
80,nieuw amsterdam,5.8833,-55.0833,33.01,52,40,3.09,SR,1727878520
81,simanggang,1.2472,111.4528,24.99,94,100,0.0,MY,1727878521
82,burley,42.5357,-113.7928,8.98,40,0,2.06,US,1727878442
83,saint albans,51.75,-0.3333,14.61,89,100,6.17,GB,1727878523
84,weno,7.4515,151.8468,25.97,89,100,0.0,FM,1727878524
85,kabompo,-13.5927,24.2008,36.48,13,89,5.25,ZM,1727878525
86,cotonou,6.3654,2.4183,27.39,78,94,5.83,BJ,1727878280
87,zaxo,37.1482,42.7001,27.48,27,0,2.51,IQ,1727878527
88,arraial do cabo,-22.9661,-42.0278,31.98,43,0,7.72,BR,1727878528
89,fort mcmurray,56.7268,-111.381,-0.23,80,100,4.12,CA,1727878529
90,carnarvon,-24.8667,113.6333,18.08,63,97,8.89,AU,1727878530
91,guatrache,-37.6678,-63.5302,13.46,30,0,6.6,AR,1727878531
92,worland,44.0169,-107.9554,3.25,48,0,1.54,US,1727878260
93,cabo san lucas,22.8909,-109.9124,27.17,73,20,4.63,MX,1727878534
94,pont rouge,48.8833,-72.0825,12.87,80,100,4.77,CA,1727878535
95,taulaga,-11.0553,-171.0883,26.95,80,29,6.47,AS,1727878536
96,yarmouth,41.7057,-70.2286,17.78,78,75,6.17,US,1727878340
97,thompson,55.7435,-97.8558,1.09,86,40,5.66,CA,1727878538
98,hawaiian paradise park,19.5933,-154.9731,22.16,100,0,2.06,US,1727878539
99,bangar,16.8936,120.4243,26.19,85,100,1.96,PH,1727878541
100,wau,7.7029,27.9953,29.81,63,97,1.16,SS,1727878542
101,zaozersk,69.4005,32.4476,5.11,74,68,6.73,RU,1727878543
